N,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
Lon,-115.1,-115.8,-60.4,-115.8,-71.0,-79.4,-79.9,-121.5,-126.7,-110.3,-96.1,-54.6,-85.9,-121.8,-102.4,-66.5,-113.4,-122.6,-105.1,-95.0,-130.0,-68.4,-68.5,-120.7,-62.3,-139.1,-61.8,-119.4
Lat,67.8,60.8,53.3,49.6,48.3,45.1,47.7,53.1,52.4,54.4,64.3,49.0,80.0,49.3,55.5,45.9,49.0,58.8,69.1,74.7,58.4,58.1,70.5,56.2,82.5,64.1,47.4,76.2
1951,-10.8,-5.0,0.6,3.9,2.4,5.0,2.0,2.0,6.4,-0.5,-11.1,5.5,-19.4,9.9,-3.4,6.0,1.5,-3.0,-15.3,-16.1,-2.0,-4.9,-13.5,-0.9,-18.6,-6.8,5.8,-17.0
1952,-10.8,-2.1,1.4,5.5,3.1,5.7,2.9,2.0,6.7,2.8,-11.1,5.2,-18.4,10.2,-0.7,6.0,4.6,-0.4,-14.2,-15.1,-0.6,-4.0,-13.8,2.2,-17.5,-4.6,5.5,-17.0
1953,-9.8,-2.1,0.3,5.1,3.6,6.3,3.7,2.3,7.8,1.7,-11.1,5.0,-19.4,10.7,-0.8,6.9,5.4,-0.3,-14.4,-16.1,-0.3,-4.8,-14.0,2.3,-16.8,-5.3,5.6,-17.4
1954,-11.1,-3.4,-0.1,4.7,2.5,5.0,2.3,0.8,6.6,0.7,-11.4,4.6,-18.5,9.6,-1.3,5.6,3.6,-1.3,-14.3,-16.0,-1.2,-4.1,-13.1,0.9,-17.8,-6.1,4.6,-17.7
1955,-12.1,-4.6,1.4,3.2,2.8,5.6,3.1,-0.7,6.0,-0.5,-11.6,4.4,-19.3,8.4,-2.2,5.2,2.4,-2.7,-14.8,-16.7,-2.8,-3.4,-12.1,-0.3,-18.2,-6.8,4.7,-18.2
1956,-12.4,-4.3,-0.5,5.0,1.9,4.6,1.4,0.9,6.9,0.9,-13.6,4.4,-20.2,9.7,-2.3,5.0,4.1,-2.3,-16.0,-17.5,-1.4,-6.4,-14.0,0.8,-18.4,-7.7,4.4,-18.5
1957,-12.1,-3.8,0.0,6.0,2.7,5.2,2.6,0.7,7.1,1.4,-12.7,3.7,-20.2,10.1,-2.2,6.0,3.8,-1.0,-15.8,-16.8,-0.2,-5.4,-13.9,1.3,-18.1,-4.8,4.8,-17.9
1958,-11.5,-2.8,1.3,6.9,2.6,4.5,2.5,3.2,8.8,2.5,-11.6,5.1,-18.0,11.8,-1.2,5.4,4.0,-0.3,-15.1,-15.7,0.1,-4.1,-13.9,2.5,-17.1,-4.9,5.1,-17.1
1959,-12.4,-4.4,0.6,4.6,2.4,4.5,2.0,0.9,8.4,1.5,-12.3,3.3,-19.6,9.8,-2.1,5.9,4.1,-1.6,-15.2,-16.4,-0.8,-5.2,-13.0,1.5,-18.1,-7.5,4.1,-17.5
1960,-11.6,-3.8,1.6,4.9,3.3,4.4,2.4,1.4,7.9,1.7,-11.1,5.1,-18.1,10.1,-1.9,6.4,4.3,-0.9,-14.2,-15.7,-0.1,-4.6,-12.1,2.2,-17.7,-4.3,5.6,-16.8
1961,-13.3,-4.8,1.0,5.3,3.0,4.9,2.6,2.0,8.7,1.7,-13.1,4.7,-20.4,10.7,-1.7,5.7,4.4,-2.2,-16.6,-17.4,-1.0,-4.5,-15.5,1.5,-18.9,-6.8,4.4,-18.5
1962,-11.3,-3.9,-0.1,5.6,2.2,4.5,1.9,1.8,8.2,1.6,-13.2,3.8,-18.3,10.3,-2.1,5.2,4.5,-1.2,-14.8,-15.6,-1.0,-5.6,-12.4,1.9,-17.1,-4.7,3.9,-16.7
